"","Months","AUTOMOBILE","THEFT/RECOVERY: AUTOMOBILE","TRUCK, BUS, MOTOR HOME","ATT: AUTOMOBILE","THEFT/RECOVERY: TRUCK,BUS,MHOME","CYCLE, SCOOTER, BIKE W-VIN","ATT: TRUCK, BUS, MOTOR HOME","THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN","ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN","THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN","CYCLE, SCOOTER, BIKE NO VIN","ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN"
"65",2006-05-01,1455,129,218,60,38,26,16,1,0,3,0,0
"66",2006-06-01,1446,123,240,58,33,56,15,0,2,2,0,0
"67",2006-07-01,1380,126,244,69,28,65,12,0,1,6,0,0
"68",2006-08-01,1436,127,240,75,24,63,8,0,2,0,1,0
"69",2006-09-01,1246,112,188,69,22,34,7,0,2,2,0,0
"70",2006-10-01,1267,129,183,46,31,30,14,0,0,0,0,0
"71",2006-11-01,1201,111,208,34,27,11,9,0,0,0,0,0
"72",2006-12-01,1247,88,185,37,22,6,11,0,0,1,0,0
"73",2007-01-01,1249,103,157,26,16,4,4,0,0,0,0,0
"74",2007-02-01,1036,71,149,34,21,2,4,0,1,0,0,0
"75",2007-03-01,1180,101,132,40,14,10,7,0,0,0,0,0
"76",2007-04-01,1140,90,135,42,21,26,10,0,0,0,0,0
"77",2007-05-01,1231,92,146,60,16,47,7,0,0,1,0,0
"78",2007-06-01,1216,96,180,49,24,57,13,0,1,3,0,0
"79",2007-07-01,1176,118,162,65,21,55,8,0,1,4,1,0
"80",2007-08-01,1282,119,145,46,14,37,9,1,1,0,2,0
"81",2007-09-01,1143,96,167,54,7,53,5,0,1,5,1,0
"82",2007-10-01,1322,94,163,70,17,34,6,0,2,1,0,0
"83",2007-11-01,1109,100,154,49,10,10,9,0,0,1,0,0
"84",2007-12-01,1209,97,177,34,18,3,20,0,0,1,0,0
"85",2008-01-01,1148,107,169,21,16,4,7,0,0,0,0,0
"86",2008-02-01,987,75,152,28,14,3,7,0,0,0,0,0
"87",2008-03-01,1254,92,221,61,18,6,14,0,0,0,1,0
"88",2008-04-01,1141,81,159,35,10,17,13,0,0,0,0,0
"89",2008-05-01,1149,76,239,38,26,31,11,0,0,1,2,0
"90",2008-06-01,1286,73,178,36,21,45,12,0,2,4,0,0
"91",2008-07-01,1529,99,207,57,19,87,9,0,1,4,3,0
"92",2008-08-01,1472,96,216,64,18,70,11,0,2,2,0,1
"93",2008-09-01,1279,92,162,58,12,58,17,0,2,1,3,0
"94",2008-10-01,1154,86,139,55,8,39,7,0,0,2,1,0
"95",2008-11-01,1018,92,110,63,7,14,8,1,0,0,1,0
"96",2008-12-01,1075,72,125,34,12,11,5,0,0,0,0,0
"97",2009-01-01,1010,71,100,30,10,6,5,0,0,0,0,0
"98",2009-02-01,922,88,70,27,8,8,2,0,0,0,0,0
"99",2009-03-01,973,101,79,36,12,10,8,0,0,0,0,0
"100",2009-04-01,895,74,77,42,10,30,7,0,1,2,0,0
"101",2009-05-01,862,81,110,46,6,47,7,0,0,1,0,0
"102",2009-06-01,897,81,105,45,10,64,7,0,1,2,0,0
"103",2009-07-01,999,109,106,32,7,63,6,0,1,2,3,1
"104",2009-08-01,993,121,89,46,8,70,4,1,1,2,1,0
"105",2009-09-01,1053,69,108,44,5,46,1,0,0,5,3,0
"106",2009-10-01,1183,86,98,40,4,27,8,0,0,0,1,0
"107",2009-11-01,1165,85,98,29,9,20,5,0,0,0,0,0
"108",2009-12-01,1246,92,141,37,9,4,8,0,1,0,1,0
"109",2010-01-01,1281,74,117,27,4,5,4,0,0,0,0,0
"110",2010-02-01,887,54,98,24,6,2,6,0,0,0,0,0
"111",2010-03-01,1115,79,114,21,4,12,1,1,0,0,1,0
"112",2010-04-01,1145,62,149,44,12,30,8,0,1,1,3,0
"113",2010-05-01,1394,78,134,39,6,35,3,1,0,0,2,0
"114",2010-06-01,1203,89,101,48,9,44,11,0,1,5,2,0
"115",2010-07-01,1261,76,121,39,10,56,5,0,2,1,1,0
"116",2010-08-01,1300,92,145,56,13,55,11,0,1,4,4,0
"117",2010-09-01,1424,79,156,49,5,35,10,0,1,3,3,0
"118",2010-10-01,1451,74,169,57,3,22,8,0,0,0,2,0
"119",2010-11-01,1475,78,130,40,9,7,5,0,1,0,2,0
"120",2010-12-01,1585,79,155,38,10,6,7,0,0,0,0,0
"121",2011-01-01,1512,84,208,29,12,1,13,0,0,0,3,0
"122",2011-02-01,1053,44,156,27,10,2,3,0,0,0,0,0
"123",2011-03-01,1352,70,157,39,11,7,3,0,0,1,0,0
"124",2011-04-01,1380,65,174,44,6,23,9,0,0,0,1,0
"125",2011-05-01,1452,71,167,34,20,45,13,0,1,2,2,0
"126",2011-06-01,1450,63,180,58,6,34,12,0,0,2,2,0
"127",2011-07-01,1389,80,197,31,8,43,5,0,1,3,3,1
"128",2011-08-01,1234,61,162,43,10,56,5,0,1,2,2,0
"129",2011-09-01,1148,45,136,42,10,37,14,0,1,1,2,0
"130",2011-10-01,1200,74,108,43,10,39,12,0,0,2,0,0
"131",2011-11-01,1277,53,119,28,8,20,1,0,0,2,1,0
"132",2011-12-01,1247,78,113,39,11,10,6,0,0,0,0,0
"133",2012-01-01,1256,72,63,40,3,4,2,0,0,0,0,0
"134",2012-02-01,1020,47,57,20,1,2,2,0,1,0,1,0
"135",2012-03-01,1193,59,44,37,1,19,0,0,0,0,0,1
"136",2012-04-01,1135,71,54,50,1,17,4,0,1,1,0,0
"137",2012-05-01,1239,63,62,50,2,46,0,0,1,1,2,0
"138",2012-06-01,1246,74,40,34,3,60,4,0,1,4,3,0
"139",2012-07-01,1171,78,41,42,3,73,2,0,2,6,4,0
"140",2012-08-01,1129,78,37,52,2,42,0,0,2,1,3,0
"141",2012-09-01,1083,72,38,65,2,39,3,0,0,2,1,1
"142",2012-10-01,1182,71,34,58,4,22,5,0,1,0,0,0
"143",2012-11-01,1235,70,39,57,1,11,0,0,0,1,0,0
"144",2012-12-01,1248,70,36,46,0,10,2,0,0,0,1,0
"145",2013-01-01,1293,65,49,58,0,5,0,0,0,0,0,0
"146",2013-02-01,1129,39,31,39,4,1,3,0,0,1,1,0
"147",2013-03-01,956,60,35,29,5,2,0,0,0,0,1,0
"148",2013-04-01,781,54,44,29,1,15,1,0,0,0,2,0
"149",2013-05-01,793,59,36,37,3,30,2,0,0,1,1,0
"150",2013-06-01,871,61,19,46,1,39,0,0,0,1,1,0
"151",2013-07-01,847,67,21,48,1,49,2,1,1,0,1,1
"152",2013-08-01,853,58,34,42,2,37,1,0,1,1,2,0
"153",2013-09-01,774,59,26,38,9,46,1,0,0,2,1,0
"154",2013-10-01,770,56,31,34,4,30,1,0,1,0,0,0
"155",2013-11-01,733,63,39,41,2,13,0,0,0,0,0,0
"156",2013-12-01,851,80,37,30,3,2,0,0,0,0,1,0
"157",2014-01-01,719,49,25,19,3,2,0,0,0,0,0,0
"158",2014-02-01,603,45,15,14,3,2,0,0,0,0,0,0
"159",2014-03-01,792,47,22,35,6,7,1,0,0,0,0,0
"160",2014-04-01,615,31,16,20,3,14,1,0,0,1,0,0
"161",2014-05-01,600,49,24,27,1,25,0,0,0,2,0,0
"162",2014-06-01,739,66,19,39,1,39,0,0,1,2,0,0
"163",2014-07-01,734,75,20,47,3,30,0,0,2,1,2,0
"164",2014-08-01,686,56,18,56,2,43,1,0,1,2,1,0
"165",2014-09-01,702,53,25,46,1,29,1,0,0,0,1,0
"166",2014-10-01,749,57,30,58,2,25,1,0,0,0,0,0
"167",2014-11-01,700,54,17,63,4,10,0,0,0,0,0,0
"168",2014-12-01,632,65,24,30,2,7,1,0,0,0,0,0
"169",2015-01-01,725,40,21,32,3,3,0,0,0,0,2,0
"170",2015-02-01,550,39,17,15,3,0,3,0,0,0,0,0
"171",2015-03-01,680,56,8,32,4,5,0,0,0,0,0,0
"172",2015-04-01,603,42,19,42,0,15,2,0,0,1,0,0
"173",2015-05-01,684,66,20,57,2,18,3,0,0,0,2,0
"174",2015-06-01,758,58,13,51,0,25,0,0,0,2,0,0
"175",2015-07-01,730,59,22,33,6,39,0,0,0,3,2,0
"176",2015-08-01,785,65,20,59,8,29,0,0,0,1,2,0
"177",2015-09-01,723,61,19,33,2,23,1,0,0,0,4,0
"178",2015-10-01,718,35,29,34,0,26,0,0,1,0,0,0
"179",2015-11-01,718,57,22,52,4,11,2,0,0,0,0,0
"180",2015-12-01,774,43,37,48,3,10,0,1,0,1,0,0
"181",2016-01-01,852,56,24,45,4,4,1,0,1,0,0,0
"182",2016-02-01,726,63,19,24,3,3,0,0,0,0,0,0
"183",2016-03-01,669,55,26,23,3,8,0,0,0,0,0,0
"184",2016-04-01,659,43,23,21,4,15,0,0,1,0,0,0
"185",2016-05-01,719,45,14,21,2,22,1,0,0,0,4,0
"186",2016-06-01,798,47,25,38,4,25,0,0,0,2,0,0
"187",2016-07-01,852,81,20,54,5,30,0,0,1,3,1,0
"188",2016-08-01,837,70,27,62,2,35,0,0,0,0,1,0
"189",2016-09-01,783,75,21,79,2,33,0,0,1,0,0,0
"190",2016-10-01,841,58,19,64,2,28,1,0,2,1,0,0
"191",2016-11-01,836,76,17,59,2,18,1,0,0,1,1,0
"192",2016-12-01,1017,60,12,26,1,2,0,0,0,0,1,0
"193",2017-01-01,817,50,8,32,1,2,0,0,0,0,0,0
